name,concentration,pharmaceutical_form,pharmaceutical_short_form,presentation
AERO SIM SABOR A ANIS,80 mg/mL,Suspensión Oral,SUSPENSION,Frasco Gotero X 15 mL
AERO SIM SABOR A FRESA,80 mg/mL,Suspensión Oral,SUSPENSION,Frasco Gotero X 15 mL
AEROFIT,80 mg/ mL,Suspensión Oral,SUSPENSION,Caja Frasco Gotero x 15 mL
AEROGEST,125 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas Blanda
AEROGEST,40 mg,Tableta Masticable,TABLETA,Caja Envase Blister Tabletas Masticable
AEROGEST,40 mg,Tableta Masticable,TABLETA,Caja Envase Blíster Tableta Masticable
AEROGEST - SABOR ANIS,80 mg/mL,Suspensión Oral,SUSPENSION,Frasco Gotero x 15 mL
AEROGEST - SABOR ANIS,80 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco Gotero x 15 mL
AEROGEST FLAT,,Suspensión Oral,SUSPENSION,Caja Frasco Gotero x 15 mL
AEROGEST PLUS FRESA,100 mg/ mL,Suspensión Oral,SUSPENSION,Caja Frasco Gotero x 15mL
AEROGEST PLUS FRESA,100 mg/ mL,Suspensión Oral,SUSPENSION,Caja Frasco Gotero x 20 mL
AEROGEST SABOR FRESA,80 mg/ mL,Solución Oral,SOLUCION,Frasco Gotero x 15 mL
AEROLISIN SABOR A ANIS,80 mg/mL,Suspensión Oral,SUSPENSION,Frasco Gotero x 15 mL
AEROLISIN SABOR A FRESA,80 mg/ mL,Suspensión Oral,SUSPENSION,Frasco gotero x 15 mL
AEROLISIN SABOR A FRESA,80 mg/mL,Suspensión Oral,SUSPENSION,Frasco Gotero x 15mL
AEROMIDE,200 mcg,Suspensión para Inhalación,AEROSOL,Caja Envase Aerosol x 200 dosis
AEROMIDE,200 µg,Suspensión para Inhalación,AEROSOL,Caja Frasco X 200 Dosis
AERONASE,10 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
AERONID,25 µg + 125 µg,Aerosol para Inhalación,AEROSOL,Envase Aerosol X 120 Dosis
AERONID,25 µg + 250 µg,Aerosol para Inhalación,AEROSOL,Envase Aerosol X 120 Dosis
AERONID 125,25 ug/ dosis + 125 ug/ dosis,Aerosol para Inhalación,AEROSOL,Caja Frasco x 120 dosis
AERONID 250,25 ug + 250 ug/ dosis,Suspensión para Inhalación en envase a presión,AEROSOL,Caja Envase Aerosol x 120 dosis
AEROTECH COMPUESTO,5 mcg + 7.5 mg/ 5 mL,Jarabe,SOLUCION,Caja Frasco x 120 mL
AEROTECH COMPUESTO,,Jarabe,SOLUCION,Frasco x 120 mL
AEROTROP,20 mcg/DOSIS,Aerosol para Inhalación,AEROSOL,Caja Frasco x 250 Dosis
AEROX SABOR A FRESA,80 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco Gotero x 15 mL
AEROX PLUS,,Suspensión Oral,SUSPENSION,Caja Frasco Gotero x 15 mL
AFADOL,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + Accesorio
A-FENAC,50 mg,Comprimido Gastrorresistente,TABLETA,Caja Envase Blister Comprimidos Gastrorresistentes
AFENOX,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
AFENOX,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
AFINITOR,10 mg,Comprimido,TABLETA,Caja Envase Blister Tabletas
AFINITOR,5 mg,Comprimido,TABLETA,Caja Envase Blister Tabletas
AFINITOR,5 mg,Comprimido,TABLETA,Caja Envase Blister Comprimido
AFINITOR,10 mg,Comprimido,TABLETA,Caja Envase Blister Comprimido
AFLAMAX,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
AFLAREX,0.1%,Suspensión Oftálmica,SUSPENSION OFTALMICA,Frasco x 5 mL
AFLAXIL,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
AFLAZACORT,30 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
AFLOXX,15 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
AFRIN SP,0.05 %,Solución para Pulverización Nasal,AEROSOL,Frasco Atomizador x 15 mL
AFRIN SP,0.025 %,Solución Nasal,AEROSOL,Caja Frasco Gotero X 15 mL
AG-DERMAX,1.00 g + 0.050 g + 0.100 g,Crema,CREMA,Caja Tubo x 20 g
AG-DERMAX,1.00 g + 0.050 g + 0.100 g,Crema,CREMA,Caja Tubo x 10 g
AG-DEXA,4 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
AGGLAD OFTENO,0.2%,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
AGGLAD OFTENO,0.2 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
AGRAFIL,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
AGRAFIL,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
AGUA BACTERIOSTATICA,,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
AGUA ESTERIL PARA INYECCION,,Disolvente Para Uso Parenteral,INYECTABLE,Caja Ampolla x 5 mL
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Bolsa x 1000 mL
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Caja Ampolla x 10 mL
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Ampolla x 10 mL
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Caja Ampollas X 5 mL
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Caja Ampollas x 20 mL
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Caja Frasco x 1 L
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Frasco x 1L
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Frasco x 500 mL
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Frasco X 1 L
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Caja Frasco x 1000 mL
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Caja Ampolla x 20 mL
AGUA ESTERIL PARA INYECCION,,Solución Inyectable,INYECTABLE,Caja Ampollas x 10 mL
AGUA ESTÉRIL PARA INYECCIÓN,,Solución Inyectable,INYECTABLE,Frasco x 1000 mL (Sistema cerrado)
AGUA ESTÉRIL PARA INYECCIÓN,,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
AGUA ESTÉRIL PARA INYECCIÓN,,Solución Inyectable,INYECTABLE,Caja Ampolla x 10 mL
AGUA ESTÉRIL PARA INYECCIÓN,,Solución Inyectable,INYECTABLE,Caja Frasco x 1000 mL
AGUA ESTÉRIL PARA INYECCIÓN,,Disolvente Para Uso Parenteral,INYECTABLE,Caja Ampolla x 5 mL
AGUA ESTERIL PARA IRRIGACION,,Solución para Irrigación,SOLUCION,Bolsa x 3 L
AGUA ESTERIL PARA IRRIGACION,,Solución para Irrigación,SOLUCION,Frasco X 3 L
AGUA ESTERIL PARA IRRIGACIÓN,,Solución para Irrigación,SOLUCION,Bolsa x 3000 mL
AGUA PARA INYECCIÓN,,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
AIMAFIX,500 UI,Polvo para Solución para Perfusión,INYECTABLE,Caja Vial + Vial x 10 mL + Accesorios
AIRLUKAST,10 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
AIRLUKAST 4,4 mg,Tableta Masticable,TABLETA,Caja Envase Blíster Tableta Masticable
AIRLUKAST 5,5 mg,Tableta Masticable,TABLETA,Caja Envase Blíster Tableta Masticable
AIRLUKAST®,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
AIRPLEN,100 ug/ dosis,Aerosol para Inhalación,AEROSOL,Caja Envase Aerosol x 250 dosis (12.5 mL)
AIRPLEN,100 mcg/dosis,Aerosol para Inhalación,AEROSOL,Caja Envase Aerosol x 250 dosis (12.5 mL)
AIRUM JAT,,Jarabe,SOLUCION,Caja Frasco x 120 mL
AIRUM JAT,10 mg + 30 mg + 2 mg/ 5 mL,Jarabe,SOLUCION,Caja Envase Frasco x 120 mL
AK PRED,1 %,Solución Nasal,AEROSOL,Frasco Gotero X 5 mL
AK TROL NF,,Suspensión Oftálmica,SUSPENSION OFTALMICA,Caja Frasco gotero x 5 mL
AKA DILATE,10 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero X 5 mL
AKA DILATE,2.5 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco x 15 mL
AKA NEFRIN,0.12 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco x 15 mL
AKAMOXX,0.5 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco gotero x 5 mL
AKAMYCINA,500 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
AKA-PRED,1 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
AKA-PRED® AC,10 mg/mL,Suspensión Oftálmica,SUSPENSION OFTALMICA,Caja Frasco Gotero x 5 mL
AKINETON,2 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
AKINETON RETARD,4 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
AKNEMIN,100 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
AKWA R,0.3 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 20 mL
AKWA TEARS,1.4 %,Solución Oftálmica,SOLUCION OFTALMICA,Frasco Gotero X 15 mL
AKWA TEARS,1.4 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 15 mL
AKWAGEL FREE,1 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 15 mL
AKWAGEL FREE,1 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
AKW-AGELAK,1%,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 20 mL
ALBALER,0.05 %,Ungüento,UNGUENTO,Caja Tubo x 40 g
ALBALER,0.05 %,Crema,CREMA,Caja Tubo x 30 g
ALBARATO,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
ALBEMAX,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 20 mL + Accesorios
ALBEN,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 20 mL
ALBENDAZOL,200 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALBENDAZOL,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Frasco X 20 mL
ALBENDAZOL,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 20 mL
ALBENDAZOL,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 20 mL
ALBENDAZOL,100 mg / 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 20 mL
ALBENDAZOL,200 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
ALBENDAZOL,100 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco X 20 mL
ALBENDAZOL,200 mg,Tableta Masticable,TABLETA,Caja Envase Blister Tabletas
ALBENDAZOL,200 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALBENDAZOL,100 mg/5mL,Suspensión Oral,SUSPENSION,Frasco x 20 mL
ALBENTEL,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 20 mL
ALBISEC,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
ALBISEC,166.66 mg + 33.33 mg,Cápsula,CAPSULA,Caja Envase Blíster Capsula
ALBIZOL,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Frasco x 20 mL
ALBOTHYL,90 mg,Ovulo,OVULO,Caja Envase Folio Ovulos
ALBOTHYL,90 mg,Ovulo,OVULO,Caja Envase Blister Ovulos
ALBUMIN,20 %,Solución Inyectable,INYECTABLE,Vial x 50 mL
ALBUMINA HUMANA,20 %,Solución para Perfusión,INYECTABLE,Frasco x 50 mL
ALBUMINA HUMANA,20 %,Solución Inyectable,INYECTABLE,Vial X 50 mL
ALBUMINA HUMANA,20 %,Solución Inyectable,INYECTABLE,Caja Vial x 50 mL
ALBUMINA HUMANA,20%,Solución Inyectable,INYECTABLE,Caja Vial x 50 mL
ALBUMINA HUMANA,20 %,Solución para Perfusión,INYECTABLE,Caja Vial x 50mL
ALBUMINA HUMANA AL 20%,20 %,Solución para Perfusión,INYECTABLE,Caja Vial x 50 mL
ALBUREL,20 %,Solución Inyectable,INYECTABLE,Caja Vial X 50 mL
ALBUREL,20 %,Solución Inyectable,INYECTABLE,Caja Vial X 100 mL
ALBUREX 20,20%,Solución para Perfusión,INYECTABLE,Caja Vial x 50 mL
ALBUREX 20,20 %,Solución para Perfusión,INYECTABLE,Caja Vial x 50 mL
ALCAINE,0.5 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 15 mL
ALCLIMAX,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALCLIMAX,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALDACTONE 100,100 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALDACTONE 100,100 mg,Tableta,TABLETA,Caja Envase Blister Tableta
ALDACTONE A,25 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
ALDACTONE A,25 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALDOMET,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALDOMET,250 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALDOMET,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ALDOMET,250 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ALE-70,70 mg,Comprimido,TABLETA,Caja Envase Blister Comprimidos
ALECENSA,150 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas Duras
ALENDRON 70,70 mg,Tableta,TABLETA,Caja Envase Folio Tabletas
ALENDROPOROSIS,70 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALENDROPOROSIS,70 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
ALENOST-70,70 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
ALER 5,5 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
ALERBYE,10 mg + 2 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ALERCET,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Cápsula Blanda
ALERCET,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Cápsulas
ALERCET,5 mg/ 5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
ALERCET,1 mg/mL,Jarabe,SOLUCION,Frasco X 60 mL
ALERCET D,,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blíster Cápsulas de Liberación Prolongada
ALERCHECK PLUS,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
ALERCIL,5 mg/5 mL,Jarabe,SOLUCION,Frasco X 60 mL
ALERCIL 10,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALERDIF,5 mg/5 mL,Jarabe,SOLUCION,Frasco X 60 mL
ALERDIF,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsula Blanda
ALERFIX,2.5 mg/5 mL,Solución Oral,SOLUCION,Frasco X 60 mL
ALERFIX,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALERFORT,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALERFREE C,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
ALERFREE C,5 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
ALERFREE C,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Cápsulas Blandas
ALERFREE-C,5 mg/5 mL,Jarabe,SOLUCION,Frasco x 60 mL
ALERGICAL LP,5 mg + 120 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
ALERGICAL LP,5 mg + 60 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
ALERGICAL LP,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
ALERGICAL NEO,,Solución Oral,SOLUCION,Caja Frasco x 15mL
ALERGICAL NEO,,Jarabe,SOLUCION,Caja Frasco x 60 mL
ALERGICAL NEO,4 mg + 10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ALERGICAL SF,2 mg + 30 mg/5 mL,Solución Oral,SOLUCION,Caja Frasco x 60 mL
ALERGICAL SF,4 mg + 60 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALERGICAL SF,2 mg + 30 mg/5 mL,Solución Oral,SOLUCION,Caja Frasco x 110 mL
ALERGICAL SF,,Solución Oral,SOLUCION,Frasco x 15 mL
ALERGICAL SF,,Tableta,TABLETA,Caja Envase Blister Tabletas
ALERGICAL SF,,Solución Oral,SOLUCION,Caja Frasco x 60 mL
ALERGICAL SF,,Solución Oral,SOLUCION,Caja Frasco X 110 mL
ALERGILAB,2.5 mg/5 mL,Jarabe,SOLUCION,Frasco X 60 mL
ALERGILAB,5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALERGINOX,180 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
ALERGINOX,120 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
ALERGIPAT,"0,2 %",Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco x 5 mL
ALERGIPAT,0.2 %,Solución Oftálmica,SOLUCION OFTALMICA,Frasco Gotero X 5 mL
ALERGIPLUS,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALERGIS,0.75 %,Gel,JALEA,Caja Tubo x 20 g
ALERGIZER,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALERGIZER,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ALERGIZER,5 mg/ 5 mL,Solución Oral,SOLUCION,Caja Frasco x 60 mL + Accesorio
ALERGIZINA,5 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
ALERGIZINA,10 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALERGIZINA D,5 mg + 120 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blíster Tableta de Liberación Prolongada
ALERGIZINA D,5 mg + 120 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
ALERGIZINA FAST,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsula Blanda
ALERGOFTAL,"0,1 %",Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
ALERLIV,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
ALERLIV,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
ALERLIV,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALERMYCIN FORTE,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
ALERPLAX,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsula Blanda
ALERPLAX,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Cápsulas Blandas
ALERSONA,1 %,Crema,CREMA,Tubo X 20 g
ALERSONA,1 %,Crema,CREMA,Caja Tubo x 20 g
ALERSONA,1 %,Crema,CREMA,Caja Tubo x 5 g
ALERTIL,10 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALERTIL,5 mg/ 5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
ALERTIL,5 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 120 mL
ALERXAL,5 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
ALERXAL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALETRIZ,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
ALEXCEF,500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
ALEXCEF,250 mg/5 mL,Polvo para Suspensión Oral,SUSPENSION,Frasco X 60 mL
ALEXCEF,500 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALEXIA FORTE,180 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Tabletas
ALEXIA FORTE,180 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
ALEXMIN,5 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
ALFADOL,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + accesorio
ALGESIA 60,60 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL + Accesorio
ALGIAMEC,200 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsula
ALGIAS,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
ALIBRA,10 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALI-BUTOL,87.33 mg / 5 mL,Suspensión Oral,SUSPENSION,Frasco x 150 mL + Accesorio
ALICAM FORTE,500 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALICAM FORTE,500 mg,Tableta,TABLETA,Caja Envase Blister Tableta
ALIDZOL,0.05 %,Crema,CREMA,Caja Tubo X 30 g
ALIGRIP DIA,325 mg + 10 mg + 5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ALIMTA,500 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
ALIMTA®,500 mg,POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,INYECTABLE,Caja Vial
ALINER-S,0.4 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blister Capsulas de Liberación Prolongada
ALIPIDEM,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
ALISEP,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALISEP,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALISTINT,500 ug/mL,Solución para Perfusión,INYECTABLE,Caja Ampolla
ALISTINT,20 ug/mL,Solución para Perfusión,INYECTABLE,Caja Ampolla
ALIZAR,0.05 %,Crema,CREMA,Caja Tubo X 30 g
ALIZAR,0.05 %,Ungüento,UNGUENTO,Caja Tubo X 30 g
ALIZAR,"0,05 %",Solución Tópica,SOLUCION,Caja Frasco x 30 mL
ALKACEL 50,50 mg,Polvo para Solución para Perfusión,INYECTABLE,Caja Vial
ALKACEL 50,50 mg,Polvo para Solución para Perfusión,INYECTABLE,Caja Vial + Disolvente x 10 mL Polvo para Solución para Perf
ALKOYODO,10 %,Solución Tópica,SOLUCION,Caja Frasco x 120 mL
ALKOYODO,10 %,Solución Tópica,SOLUCION,Frasco x 1000 mL
ALKOYODO,10 %,Solución Tópica,SOLUCION,Frasco x 60 mL
ALKOYODO,10 %,Solución Tópica,SOLUCION,Frasco x 120 mL
ALKOYODO ESPUMA,7.5 %,Solución Tópica,SOLUCION,Frasco x 60 mL
ALKOYODO ESPUMA,7.5 %,Solución Tópica,SOLUCION,Frasco x 120 mL
ALKOYODO ESPUMA,7.5 %,Solución Tópica,SOLUCION,Frasco x 1000 mL
ALKOYODO ESPUMA,7.5 %,Solución Tópica,SOLUCION,Caja Frasco x 120 mL
ALKOYODO ESPUMA,7.5%,Solución Tópica,SOLUCION,Caja Frasco x 60 mL
ALLEGHYSINA,5 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
ALLEGRA,120 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALLEGRA,180 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALLEGRA,120 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
ALLEGRA,180 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ALLEGRA,120 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ALLEGRA D,60 mg + 120 mg,Comprimido recubierto de liberación prolongada,TABLETA,Caja Envase Blíster Comprimidos
ALLEGRA PEDIATRICO,30 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 150 mL + Accesorio
ALLEGRA PEDIÁTRICO,30 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 150 mL + Accesorio
ALLERCOM,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ALLERGISTAL-120,120 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ALLERGISTAL-180,180 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ALLERGY-TADINA,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ALLERICOM,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
ALLERMED,2 mg/5 mL,Jarabe,SOLUCION,Frasco x 120 mL
ALLERNADEX,4 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
ALLERTA,2.5 mg/5 mL,Jarabe,SOLUCION,Frasco X 60 mL
ALMORA,20 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ALMORA,20 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ALMOTAN 12.5,12.5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ALMOTAN 6.25,6.25 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ALMUMADIN,5 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
ALOPURINOL,300 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
ALOPURINOL,100 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
ALOPURINOL,100 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALOPURINOL,300 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALPAZ,0.5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALPAZ,1 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALPAZ LP,0.5 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas
ALPAZ LP,1 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas
ALPHACAINE 100,2 % + 1:100 000,Solución Inyectable,INYECTABLE,Caja Cartucho x 1.8 mL
ALPHAGAN P,0.15 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
ALPHAGAN P,0.15 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5mL
ALPOSCAD,500 mcg/mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
ALPRAZLAM,0.5 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
ALPRAZLAM,0.5 mg,Tableta,TABLETA,Caja Envase Blíster
ALPRAZOLAM,"0,5",Tableta,TABLETA,Caja Envase Blister Tableta
ALPRAZOLAM,0.5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ALPRAZOLAM,"0,5 mg",Tableta,TABLETA,Caja Envase Blíster Tableta
ALTACEF-500,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
